"from","to","weight"
"AQR","EGFR",1
"AQR","GLB1L",2
"AQR","MSH2",1
"AQR","PIGV",1
"AQR","RAB28",1
"AQR","ROPN1L",1
"AQR","SSBP1",1
"AQR","TGFB2",1
"AQR","TRMU",1
"AQR","TUFT1",2
"BPIFB1","C16orf58",1
"BPIFB1","GLB1L",1
"BPIFB1","GSK3A",1
"BPIFB1","PCOLCE2",1
"BPIFB1","RPL41",1
"BPIFB1","SERINC3",2
"BPIFB1","SGCE",1
"BPIFB1","TUFT1",1
"BPIFB1","WASF3",1
"C16orf58","AC116913.1",1
"C16orf58","LARP4",1
"C16orf58","PCDH7",1
"C16orf58","PCOLCE2",1
"C16orf58","PRPF40A",1
"C16orf58","ROPN1L",1
"C16orf58","STOML2",1
"C16orf58","TANGO2",1
"C16orf58","TGFB2",1
"C16orf58","TRABD",1
"C16orf58","TUFT1",2
"EGFR","GLB1L",1
"EGFR","GSK3A",1
"EGFR","H2AC20",1
"EGFR","LARP4",1
"EGFR","MSH2",1
"EGFR","PCDHB16",1
"EGFR","PCOLCE2",1
"EGFR","RPL41",1
"EGFR","SLFN11",1
"EGFR","SPINK13",1
"EGFR","STOML2",1
"EGFR","TTC30A",1
"GLB1L","PCOLCE2",1
"GLB1L","PRPF40A",1
"H2AC20","RPL41",1
"H2AC20","TGFB2",1
"INTS6","C16orf58",2
"INTS6","KIF21B",1
"INTS6","MSH2",1
"INTS6","PCDH7",1
"INTS6","PCDHB16",1
"INTS6","PCOLCE2",2
"INTS6","PRPF40A",1
"INTS6","ROPN1L",1
"INTS6","SERINC3",3
"INTS6","SGCE",1
"INTS6","SH3GLB1",1
"INTS6","SPINK13",1
"INTS6","STOML2",1
"INTS6","TRMU",1
"INTS6","TUFT1",1
"KIF21B","C16orf58",1
"KIF21B","EGFR",1
"KIF21B","MSH2",1
"KIF21B","PCOLCE2",1
"KIF21B","PPP1R32",1
"KIF21B","PRPF40A",1
"KIF21B","RAB28",1
"KIF21B","RPL41",2
"KIF21B","SERINC3",1
"KIF21B","SGCE",1
"KIF21B","SH3GLB1",1
"KIF21B","STOML2",1
"KIF21B","TANGO2",1
"KIF21B","TRMU",1
"KIF21B","TUFT1",2
"LARP4","PCOLCE2",1
"LARP4","STOML2",1
"LYSMD2","C16orf58",2
"LYSMD2","GLB1L",1
"LYSMD2","PCOLCE2",1
"LYSMD2","SH3GLB1",1
"MSH2","TRIM38",1
"PCDH7","TRMU",1
"PCOLCE2","H2AC20",1
"PCOLCE2","MSH2",1
"PCOLCE2","PCDH7",1
"PCOLCE2","PRPF40A",2
"PCOLCE2","SPINK13",1
"PCOLCE2","TGFB2",1
"PIGV","INTS6",1
"PIGV","SERINC3",2
"PIGV","SGCE",1
"PIGV","SH3GLB1",1
"PIGV","SSBP1",1
"PIGV","TRABD",1
"PIGV","TUFT1",1
"PPP1R32","TRABD",1
"PRPF40A","DDX6",1
"PRPF40A","TGFB2",1
"PRPF40A","TTC30A",1
"PXMP4","C16orf58",1
"PXMP4","H2AC20",1
"PXMP4","MSH2",1
"PXMP4","PRPF40A",1
"PXMP4","SERINC3",1
"PXMP4","SGCE",1
"PXMP4","SH3GLB1",1
"PXMP4","SSBP1",1
"PXMP4","STOML2",1
"PXMP4","TRMU",1
"PXMP4","TUFT1",2
"RAB28","GLB1L",1
"RAB28","PRPF40A",1
"RAB28","TANGO2",1
"RAB28","TRIM38",1
"ROPN1L","CNTN3",1
"ROPN1L","LARP4",1
"ROPN1L","MSH2",2
"ROPN1L","PRPF40A",1
"ROPN1L","RAB28",1
"ROPN1L","RPL41",1
"ROPN1L","SPATA24",1
"RPL41","CLDN18",1
"RPL41","GSK3A",1
"SERINC3","C16orf58",1
"SERINC3","DDX6",1
"SERINC3","EGFR",1
"SERINC3","GLB1L",1
"SERINC3","LARP4",1
"SERINC3","LYSMD2",1
"SERINC3","PPP1R32",1
"SERINC3","ROPN1L",2
"SERINC3","SPINK13",1
"SERINC3","TGFB2",1
"SERINC3","TRABD",1
"SERINC3","TRIM38",1
"SERINC3","TUFT1",1
"SGCE","CLDN18",1
"SGCE","EGFR",1
"SGCE","GLB1L",1
"SGCE","MSH2",2
"SGCE","PCDH7",1
"SGCE","PCOLCE2",1
"SGCE","SERINC3",2
"SGCE","SH3GLB1",1
"SGCE","TANGO2",1
"SGCE","TUFT1",1
"SGCE","WASF3",1
"SLFN11","PRPF40A",1
"SPATA24","MSH2",1
"SPATA24","SPINK13",1
"SPATA24","TANGO2",1
"SPATA24","TRIM38",1
"SSBP1","AC116913.1",1
"SSBP1","BPIFB1",1
"SSBP1","C16orf58",1
"SSBP1","CLDN18",1
"SSBP1","EGFR",1
"SSBP1","KIF21B",2
"SSBP1","PPP1R32",1
"SSBP1","PRPF40A",1
"SSBP1","RAB28",1
"SSBP1","SERINC3",2
"SSBP1","SGCE",1
"SSBP1","STOML2",1
"SSBP1","TANGO2",2
"SSBP1","TRMU",1
"SSBP1","WASF3",1
"STOML2","AC116913.1",1
"STOML2","H2AC20",1
"STOML2","MSH2",1
"STOML2","PRPF40A",1
"STOML2","TANGO2",1
"TRABD","MSH2",1
"TRABD","PRPF40A",2
"TTC30A","DDX6",1
"TUFT1","EGFR",2
"TUFT1","GLB1L",2
"TUFT1","GSK3A",1
"TUFT1","LARP4",1
"TUFT1","MSH2",1
"TUFT1","PPP1R32",2
"TUFT1","PRPF40A",1
"TUFT1","RAB28",1
"TUFT1","ROPN1L",2
"TUFT1","RPL41",1
"TUFT1","SPATA24",1
"TUFT1","SPINK13",1
"TUFT1","TRABD",1
"TUFT1","TRIM38",1
"TUFT1","TTC30A",1
"WASF3","EGFR",1
"WASF3","PCDHB16",1
"WASF3","PCOLCE2",1
"WASF3","PRPF40A",1
"WASF3","RAB28",1
"WASF3","ROPN1L",1
"WASF3","STOML2",1
"WASF3","TGFB2",1
"WASF3","TUFT1",2
"ZNF207","C16orf58",1
"ZNF207","EGFR",1
"ZNF207","GLB1L",1
"ZNF207","KIF21B",1
"ZNF207","MSH2",1
"ZNF207","PCOLCE2",1
"ZNF207","PRPF40A",1
"ZNF207","ROPN1L",1
"ZNF207","SERINC3",3
"ZNF207","TUFT1",1
"ZNF207","WASF3",1
